timestamp,src_ip,src_port,dst_ip,dst_port,protocol,transport,connection_type
2025-01-09 17:25:01.178190,60.253.15.176,45979,192.168.128.2,81,httpd,tcp,accept
2025-01-09 17:38:52.962253,66.240.236.116,53810,192.168.128.2,445,smbd,tcp,accept
2025-01-09 17:38:53.268495,66.240.236.116,53824,192.168.128.2,445,smbd,tcp,accept
2025-01-09 17:48:03.528461,172.105.128.12,39698,192.168.128.2,1433,mssqld,tcp,accept
2025-01-09 17:49:03.529130,172.105.128.12,43010,192.168.128.2,1433,mssqld,tcp,accept
2025-01-09 18:02:18.458098,45.33.109.17,50037,192.168.128.2,1433,mssqld,tcp,accept
2025-01-09 18:02:31.481918,45.33.109.17,50038,192.168.128.2,1433,mssqld,tcp,accept
2025-01-09 18:10:46.765157,161.35.129.149,59044,192.168.128.2,3306,mysqld,tcp,accept
2025-01-09 18:29:04.947592,193.200.78.250,60796,192.168.128.2,81,httpd,tcp,accept
2025-01-09 18:45:28.070100,216.218.206.118,36571,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:02:29.547243,4.151.220.177,47904,192.168.128.2,81,httpd,tcp,accept
2025-01-09 19:02:48.505293,138.219.201.243,32385,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:02:48.922010,138.219.201.243,32397,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:11.254160,138.219.201.243,32797,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:18.215649,138.219.201.243,32947,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:20.483839,138.219.201.243,33001,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:17.248220,138.219.201.243,32925,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:14.292030,138.219.201.243,60570,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:17.725289,138.219.201.243,32932,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:05.315737,138.219.201.243,60484,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:13.330391,138.219.201.243,60560,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:13.810313,138.219.201.243,32855,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:11.859396,138.219.201.243,32807,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:12.847565,138.219.201.243,32833,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:12.355258,138.219.201.243,60548,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:15.282310,138.219.201.243,60578,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:19.020148,138.219.201.243,32973,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:16.276965,138.219.201.243,32911,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:20.009155,138.219.201.243,60632,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:20.976180,138.219.201.243,33013,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:16.773930,138.219.201.243,60598,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:14.786261,138.219.201.243,60574,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:19.518157,138.219.201.243,60624,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:03:15.788009,138.219.201.243,32897,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:31.111822,138.219.201.243,34483,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:38.013182,138.219.201.243,61348,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:42.355161,138.219.201.243,34705,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:36.055558,138.219.201.243,34587,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:33.645556,138.219.201.243,34543,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:37.523392,138.219.201.243,34619,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:35.585925,138.219.201.243,34581,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:32.183338,138.219.201.243,61284,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:34.129312,138.219.201.243,61308,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:25.383265,138.219.201.243,61224,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:32.667364,138.219.201.243,61292,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:35.101200,138.219.201.243,61316,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:33.159303,138.219.201.243,61296,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:34.620012,138.219.201.243,61312,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:31.700979,138.219.201.243,61282,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:36.539048,138.219.201.243,61332,192.168.128.2,445,smbd,tcp,accept
2025-01-09 19:04:40.355477,138.219.201.243,34683,192.168.128.2,445,smbd,tcp,accept
